ItemPII	GreenOA EmbargoDate	ItemOnline	ItemVorOnline	EmbargoPeriod
S0001-2092(10)00998-1	2012-05-01	2011-02-01		12
S0001-2092(14)01086-2	2016-02-20	2014-11-22		12
S0001-2998(13)00107-4	2015-03-03	2013-12-03		12
S0001-4575(10)00195-8	2013-11-09	2010-08-12		36
S0001-4575(11)00042-X	2014-06-21	2011-03-24		36
S0001-4575(11)00178-3	2014-10-09	2011-07-12		36
S0001-4575(12)00058-9	2015-05-30	2012-03-01		36
S0001-4575(12)00366-1	2016-02-06	2012-11-08		36
S0001-4575(14)00303-0	2018-01-26	2014-10-29		36
S0001-6918(13)00139-X	2015-10-25	2013-07-27		24
S0001-6918(15)00087-6	2017-07-12	2015-04-14		24
S0001-706X(10)00213-5	2012-01-06	2010-10-08		12
S0001-706X(14)00094-1	2015-06-24	2014-03-26		12
S0001-706X(15)30021-8	2016-06-18	2015-06-03	2015-06-19	12
S0001-706X(15)30041-3	2016-06-26	2015-06-20	2015-06-27	12
S0001-706X(15)30088-7	2016-08-26	2015-08-20	2015-08-27	12
S0001-8686(15)00142-6	2017-11-11	2015-08-14		24
S0001-8708(10)00291-4	2012-11-22	2010-08-25		24
S0001-8708(11)00163-0	2013-08-25	2011-05-28		24
S0001-8708(12)00189-2	2014-09-09	2012-06-11		24
S0001-8708(14)00449-6	2017-04-08	2015-01-09		24
S0001-8708(15)00326-6	2017-09-03	2015-09-04	2015-09-04	24
S0001-8791(09)00142-0	2013-01-28	2009-10-31		36
S0001-8791(10)00021-7	2013-05-10	2010-02-10		36
S0001-8791(10)00072-2	2013-07-11	2010-04-13		36
S0001-8791(10)00079-5	2013-07-30	2010-05-02		36
S0001-8791(10)00161-2	2013-12-15	2010-09-17		36
S0001-8791(10)00162-4	2013-12-22	2010-09-24		36
S0001-8791(10)00187-9	2014-02-07	2010-11-10		36
S0001-8791(10)00207-1	2014-03-22	2010-12-23		36
S0001-8791(11)00047-9	2014-07-03	2011-04-05		36
S0001-8791(11)00049-2	2014-07-13	2011-04-15		36
S0001-8791(12)00157-1	2016-03-25	2012-12-26		36
S0001-8791(13)00115-2	2016-08-17	2013-05-20		36
S0001-8791(13)00133-4	2016-09-18	2013-06-21		36
S0001-8791(14)00019-0	2017-04-30	2014-01-31		36
