Partner	PublicationType	ItemPII	DOI	ItemSubType	ItemWeight	ItemStage	JNL Acronym	ItemVersion	ISSN	CID	HubPII	VolumeStart	VolumeEnd	IssueStart	IssueEnd	Supplement	CoverDateStart	CoverDateEnd	ISBN	ItemOnline	ItemVorOnline	GreenOA EmbargoDate	EmbargoPeriod	ItemLastLoadEW	ItemLastLoadXOCS	OpenAccessStatus	OpenAccessEffDate	OpenAccessWinType	OpenAccessLicense	OpenAccessSponsorName	OpenAccessSponsorType	CopyrightLine	LicenseLine	FirstPage	LastPage	ItemNumber	PageCount	FigureCount	TableCount	MathMLCount	MMCCount	Status	Remarks	
Florida	JL	S0167-5273(08)00887-5	10.1016/j.ijcard.2008.06.092	sco	FULL-TEXT	S300	IJCA	S300.2	0167-5273	271057	S0167-5273(10)X0003-1	139		1			20100218			2008-08-20		2009-11-18	12	2011-07-23T06:25:41	2015-05-14T04:57:05.477425-04:00							Copyright © 2008 Elsevier Ireland Ltd. All rights reserved.		102	104		3	3	0	0	0			
Florida	JL	S0736-4679(08)00461-7	10.1016/j.jemermed.2008.04.010	fla	FULL-TEXT	S300	JEM	S300.2	0736-4679	271282	S0736-4679(09)X0010-7	38		1			201001			2008-10-31		2010-01-29	12	2015-09-30T14:22:36	2015-10-01T08:27:12.892437-04:00							Copyright © 2010 Elsevier Inc. All rights reserved.		65	69		5	1	1	0	0			
Florida	JL	S0897-1897(08)00043-8	10.1016/j.apnr.2008.04.001	fla	FULL-TEXT	S300	YAPNR	S300.1	0897-1897	272378	S0897-1897(10)X0002-7	23		2			201005			2009-01-15		2010-04-15	12	2010-11-02T14:03:01	2015-05-15T02:40:31.780011-04:00							Copyright © 2010 Elsevier Inc. All rights reserved.		110	115		6	1	1	0	0			
Florida	JL	S1057-7408(08)00135-6	10.1016/j.jcps.2008.12.012	err	FULL-TEXT	S300	JCPS	S300.1	1057-7408	276838	S1057-7408(10)X0002-X	20		1			201001			2009-01-20		2012-04-19	36	2010-10-31T21:02:58	2015-05-15T04:52:03.094739-04:00							Copyright © 2008 Society for Consumer Psychology. Published by Elsevier Inc. All rights reserved.		99			1	0	0	0	0			
Florida	JL	S0892-1997(08)00125-2	10.1016/j.jvoice.2008.08.002	fla	FULL-TEXT	S300	YMVJ	S300.3	0892-1997	272877	S0892-1997(10)X0002-9	24		2			201003			2009-01-29		2010-04-29	12	2011-05-27T06:35:35	2015-05-15T02:32:02.572804-04:00							Copyright © 2010 The Voice Foundation. Published by Elsevier Inc. All rights reserved.		168	177		10	2	3	0	0			
Florida	JL	S0304-3878(09)00009-1	10.1016/j.jdeveco.2009.01.007	fla	FULL-TEXT	S300	DEVEC	S300.1	0304-3878	271688	S0304-3878(10)X0002-5	92		1			201005			2009-02-07		2012-05-07	36	2010-10-31T07:56:45	2015-05-14T06:49:20.473613-04:00							Copyright © 2009 Elsevier B.V. All rights reserved.		13	27		15	2	0	69	0			
Florida	JL	S1056-8727(08)00124-4	10.1016/j.jdiacomp.2008.12.004	fla	FULL-TEXT	S300	JDC	S300.2	1056-8727	271280	S1056-8727(10)X0003-4	24		3			201005	201006		2009-02-13		2010-05-14	12	2011-07-22T22:10:24	2015-05-15T04:52:02.803047-04:00							Copyright © 2010 Elsevier Inc. All rights reserved.		163	167		5	2	0	0	0			
Florida	JL	S0883-5403(09)00062-X	10.1016/j.arth.2009.02.012	sco	FULL-TEXT	S300	YARTH	S300.2	0883-5403	272519	S0883-5403(10)X0002-X	25		3			201004			2009-03-04		2010-06-02	12	2011-07-23T06:25:41	2015-05-15T02:18:45.955786-04:00							Copyright © 2010 Elsevier Inc. Published by Elsevier Inc. All rights reserved.		497.e7	497.e10		4	4	0	0	0			
Florida	JL	S0736-4679(08)00915-3	10.1016/j.jemermed.2008.09.029	fla	FULL-TEXT	S300	JEM	S300.2	0736-4679	271282	S0736-4679(09)X0010-7	38		1			201001			2009-03-05		2010-06-03	12	2015-09-30T14:22:36	2015-10-01T08:27:12.912073-04:00							Copyright © 2010 Elsevier Inc. All rights reserved.		40	50		11	0	0	0	0			
Florida	JL	S0736-4679(08)00914-1	10.1016/j.jemermed.2008.11.016	fla	FULL-TEXT	S300	JEM	S300.2	0736-4679	271282	S0736-4679(10)X0002-6	38		2			201002			2009-03-09		2010-06-07	12	2015-09-24T09:58:31	2015-09-26T19:46:56.276868-04:00							Copyright © 2010 Elsevier Inc. All rights reserved.		201	207		7	0	0	0	0			
Florida	JL	S0160-4120(09)00059-2	10.1016/j.envint.2009.02.004	fla	FULL-TEXT	S300	EI	S300.1	0160-4120	271763	S0160-4120(10)X0007-1	36		8			201011			2009-03-18		2011-06-16	24	2010-10-31T12:29:28	2015-05-14T04:21:19.589788-04:00							Copyright © 2009 Elsevier Ltd. All rights reserved.		942	949		8	7	4	2	0			
Florida	JL	S0022-5223(09)00029-4	10.1016/j.jtcvs.2009.01.002	sco	FULL-TEXT	S300	YMTC	S300.3	0022-5223	272864	S0022-5223(09)X0015-2	139		2			201002			2009-03-19		2010-06-17	12	2015-05-20T14:10:42	2015-05-20T10:12:33.14243-04:00							"Copyright © 2010 The American Association for Thoracic Surgery. Published by Mosby, Inc. All rights reserved."		506	507		2	2	0	0	0			
Florida	JL	S0378-4320(09)00087-6	10.1016/j.anireprosci.2009.03.014	fla	FULL-TEXT	S300	ANIREP	S300.1	0378-4320	271313	S0378-4320(09)X0011-4	117		1	2		201001			2009-04-05		2010-07-04	12	2010-10-31T08:08:20	2015-05-14T08:05:45.268833-04:00							Copyright © 2009 Elsevier B.V. All rights reserved.		99	105		7	4	1	0	0			
Florida	JL	S0378-4290(09)00091-4	10.1016/j.fcr.2009.03.014	rev	FULL-TEXT	S300	FIELD	S300.1	0378-4290	271162	S0378-4290(09)X0015-8	115		3			20100205			2009-05-05		2011-08-03	24	2010-10-31T08:08:20	2015-05-14T08:05:45.195928-04:00							Copyright © 2009 Elsevier B.V. Published by Elsevier B.V. All rights reserved.		253	269		17	2	1	0	0			
Florida	JL	S0736-4679(09)00305-9	10.1016/j.jemermed.2009.04.038	fla	FULL-TEXT	S300	JEM	S300.1	0736-4679	271282	S0736-4679(11)X0012-4	41		6			201112			2009-05-17		2010-08-15	12	2011-12-14T22:09:04	2015-05-15T02:05:05.859364-04:00							Copyright © 2011 Elsevier Inc. All rights reserved.		607	612		6	2	1	0	0			
Florida	JL	S0308-8146(09)00745-6	10.1016/j.foodchem.2009.05.064	fla	FULL-TEXT	S300	FOCH	S300.1	0308-8146	271163	S0308-8146(09)X0019-1	118		3			20100201			2009-05-27		2010-08-25	12	2010-10-31T08:11:57	2015-05-14T07:13:29.637367-04:00							Copyright © 2009 Elsevier Ltd. All rights reserved.		789	798		10	5	1	1	0			
Florida	JL	S0168-9274(09)00100-7	10.1016/j.apnum.2009.05.013	fla	HEAD-AND-TAIL	S300	APNUM	S300.1	0168-9274	271992	S0168-9274(10)X0003-4	60		4			201004			2009-06-02		2011-08-31	24	2010-11-01T07:28:09	2015-05-14T05:25:39.503197-04:00							Published by Elsevier B.V.		358	369		12	0	0	1	0			
Florida	JL	S0306-4379(09)00051-9	10.1016/j.is.2009.05.003	fla	FULL-TEXT	S300	IS	S300.1	0306-4379	271528	S0306-4379(09)X0006-2	35		1			201001			2009-06-02		2011-08-31	24	2010-11-01T15:27:37	2015-05-14T07:07:12.186312-04:00							Copyright © 2009 Elsevier B.V. All rights reserved.		111	138		28	16	7	779	0			
