accessionId	version	lastUpdated	created	lastUpdatedBy	createdBy	title	dateExpression	dateBegin	dateEnd	bulkDateBegin	bulkDateEnd	extentNumber	containerSummary	extentType	displayCreator	displayRepository	displaySource	restrictionsApply	accessionNumber1	accessionNumber2	accessionNumber3	accessionNumber4	accessionDate	resourceType	description	inventory	conditionNote	acquisitionType	acknowledgementDate	agreementSentDate	agreementReceivedDate	processingPlan	accessionProcessedDate	accessionDispositionNote	retentionRule	cataloged	rightsTransferred	catalogedNote	accessRestrictionsNote	useRestrictionsNote	generalAccessionNote	processingPriority	processors	processingStatus	acknowledgementSent	agreementSent	agreementReceived	accessionProcessed	accessRestrictions	useRestrictions	catalogedDate	rightsTransferredDate	processingStartedDate	rightsTransferredNote	userDefinedDate1	userDefinedDate2	userDefinedBoolean1	userDefinedBoolean2	userDefinedInteger1	userDefinedInteger2	userDefinedReal1	userDefinedReal2	userDefinedString1	userDefinedString2	userDefinedString3	userDefinedText1	userDefinedText2	userDefinedText3	userDefinedText4	repositoryId
1	5	2013-03-11 09:12:30.527	2011-06-03 11:00:38.520	johnemm	carvann	Gordon Streib Papers		NULL	NULL	NULL	NULL	18	18 boxes of assorted sizes.	Cubic feet		Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	2011	3	0603		2011-05-22 00:00:00.000	University Archives - Private Manuscript Collections	Research files of Professor Gordon Streib who helped develop the concepts behind assisted leaving retirement communities in the late 20th century.		Excellent.  No evidence of infestation.		2011-04-29 00:00:00.000	2011-04-29 00:00:00.000	2011-05-22 00:00:00.000		NULL			0	1		None	None	This collection was removed from the apartment of the late Professor Gordon Streib at Oak Hammock.  Part of the collection was retrieved by G & E in March 2011 and materials were added in April by Streib's son-in-law, Brian Nielsen.  A deed of gift, dated May 22, 2011, was signed by Streib's daughter, Carol Streib Nielsen.	Low			1	1	1	NULL	NULL	NULL	NULL	2011-05-22 00:00:00.000	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL								1
2	8	2011-12-15 10:50:45.330	2011-06-08 15:16:27.307	johnemm	carvann	Charles Hoffman Collection	1963-1995	NULL	NULL	NULL	NULL	5	5 cartons	Cubic feet		Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	2011	4	0608		2011-05-11 00:00:00.000	Manuscripts - Florida History Collections	Research notes and correspondence on excavations conducted in Florida by paleontologist Charles Hoffman.	A folder inventory is located in the collection casefile.	Excellent		NULL	NULL	NULL		NULL			1	0				These records were deaccesioned by the Cline Library at Northern Arizona University and transferred to Florida.  There is a transfer document from NAU in the casefile, but no deed of gift.  We would have to locate a posssible donor for the papers.	Medium		Processed	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms292							1
332	9	2011-12-15 10:51:01.737	2011-06-09 10:52:05.070	johnemm	carvann	Kai Lai Chung Papers	1933-2003	NULL	NULL	NULL	NULL	1.75	3 boxes	Linear feet		Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	2011	5	0609		2011-06-08 00:00:00.000	Manuscripts - General Collections	The collection contains correspondence, notebooks, lectures and manuscripts of Kai Lai Chung, a prominent mathematician in the field of probability theory.	A detailed inventory of the collection's contents in a spreadsheet was created by a student assistant working with the Provost. 	Excellent		NULL	NULL	NULL	Because of the Provost's interest, the collection will be processed promptly and will be a test case for creating an EAD on Toolkit.	NULL			1	1	MS Group 284			This collection came to us via Provost Joe Glover who acquired the collection on our behalf.  An inventory was created by a student assistant working with Glover and transferred to us.  The deed for this donation was written by General Counsel and differs from our standard deed.  The Provost also expressed interest in acquiring additional papers from the donor.	High		Processed	NULL	NULL	1	1	NULL	NULL	NULL	2011-05-05 00:00:00.000	NULL	Deed of Gift signed by donor, Lilia Chung, on May 5, 2011n and by Foundation on June 6, 2011.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms284							1
784	5	2017-10-31 13:44:05.270	2011-06-13 07:35:29.973	mjkruse	johnemm	Farris Bryant Papers		NULL	NULL	NULL	NULL	NULL			Bryant, Farris	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Bryant, Farris, 1914-2002	0	0000	1	x		1911-01-01 00:00:00.000	Manuscripts - Political Collections				Gift	NULL	NULL	NULL		NULL			1	0	Fl. Misc. Ms. Change this call number. Collection # unknown.						Processed	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms288.xml			(Carla Summers encoded this for LSTA EAD as fug-fh-0201.xml) Evidently, the collection never had a ms#, so it has been assigned 288.				1
785	5	2011-12-13 09:33:43.543	2011-06-13 07:35:29.990	johnemm	johnemm	Louise Bechtel Papers		NULL	NULL	NULL	NULL	NULL			Bechtel, Louise Seaman	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Cerimon Foundation.	0	0000	2	x		1911-01-01 00:00:00.000	Manuscripts - Literary Collections				Gift	NULL	NULL	NULL		NULL			1	0	ms136							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms136.xml			(Carla Summers encoded this for LSTA EAD - originally numbered FUG-GM-0201, now numbered ufms136)				1
786	3	2011-12-13 07:20:01.143	2011-06-13 07:35:29.990	johnemm	johnemm	Alachua County Abstract Company Records		NULL	NULL	NULL	NULL	NULL			Alachua County Abstract Company (Gainesville, Fla.)	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Colson, Barney R., Jr.	0	0000	3	x		1911-01-01 00:00:00.000	Manuscripts - Florida History Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS 1							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms1.xml							1
787	6	2012-01-26 07:48:49.847	2011-06-13 07:35:30.007	johnemm	johnemm	Marjorie Kinnan Rawlings Papers		NULL	NULL	NULL	NULL	NULL			Rawlings, Marjorie Kinnan	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Rawlings, Marjorie Kinnan, 1896-1953	0	1956	2	x		1956-01-01 00:00:00.000	Manuscripts - Literary Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS Group 1 (There are 4 records for this collection in the catalog. )			The bulk bequested by Rawlings; the rest assembled by Mr. Beuchler, Dr. Bigelow and Mr. West. Other donors and sources include Norton Baskin, his grandniece Judith Oliver, and Phil May, Jr. On Nov 1, 2000, Jerry D. Jolley donated about 16 items relating to L. Neal Smith, which were added to the Rawlings papers. In 2000, Nancy S. Weyant donated about 8 items relating to Ethel Beebe, which were added to the Rawlings papers.				NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms1gm.xml							1
788	2	2011-11-03 15:56:47.983	2011-06-13 07:35:30.007	johnemm	johnemm	American Civil Liberties Union of Florida Records		NULL	NULL	NULL	NULL	NULL			American Civil Liberties Union of Florida	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	0000	5	x		1911-01-01 00:00:00.000	Manuscripts - Florida History Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS 2							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms2.xml							1
789	3	2011-12-22 09:41:17.113	2011-06-13 07:35:30.020	johnemm	johnemm	Lillian Smith Papers		NULL	NULL	NULL	NULL	NULL			Smith, Lillian Eugenia	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	1972	2	x		1972-01-01 00:00:00.000	Manuscripts - Literary Collections				Purchase	NULL	NULL	NULL		NULL			1	0	MS Group 2			Deposited by Lillian Smith, except for the supplemental material (Box 7) in series one. Subsequently purchased from her estate in 1972.				NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL								1
790	5	2017-07-18 11:07:11.003	2011-06-13 07:35:30.020	mjkruse	johnemm	Edith Pope Papers		NULL	NULL	NULL	NULL	NULL			Pope, Edith	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Pope, Verle Allyn, 1903-1973	0	1962	1	x		1962-01-01 00:00:00.000	Manuscripts - Literary Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS Group 3							NULL	NULL	NULL	1	0	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms3gm.xml							1
791	3	2011-12-13 07:20:47.410	2011-06-13 07:35:30.037	johnemm	johnemm	Charles Oscar Andrews Papers		NULL	NULL	NULL	NULL	NULL			Andrews, Charles Oscar	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Holland, Spessard L.,  (Spessard Lindsey), 1892-1971	0	0000	7	x		1911-01-01 00:00:00.000	Manuscripts - Political Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS 3							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms3.xml							1
792	3	2012-01-26 07:50:06.473	2011-06-13 07:35:30.053	johnemm	johnemm	J. Max Patrick Papers		NULL	NULL	NULL	NULL	NULL			Patrick, J. Max, (John Max)	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	0000	8	x		1911-01-01 00:00:00.000	Manuscripts - General Collections					NULL	NULL	NULL		NULL			1	0	MS Group 4			Acquired prior to 1964.				NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms4.xml							1
793	2	2011-11-04 10:36:13.567	2011-06-13 07:35:30.053	johnemm	johnemm	Reubin O'Donovan Askew Speeches		NULL	NULL	NULL	NULL	NULL			Askew, Reubin O'D.	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	0000	9	x		1911-01-01 00:00:00.000	Manuscripts - Political Collections					NULL	NULL	NULL		NULL			1	0	MS 4							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms4pky.xml							1
794	4	2011-12-13 07:21:08.597	2011-06-13 07:35:30.067	johnemm	johnemm	Charles E. Bennett Papers		NULL	NULL	NULL	NULL	NULL			Bennett, Charles E.	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Bennett, Charles E., 1910-2003	1	0000	10	x		1911-01-01 00:00:00.000	Manuscripts - Political Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS 5						Processed	NULL	NULL	NULL	1	1	1	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms5.xml							1
795	3	2017-10-31 14:13:14.900	2011-06-13 07:35:30.067	mjkruse	johnemm	Robert Lucas Black Papers		NULL	NULL	NULL	NULL	NULL			Black, Robert Lucas	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	0000	11	x		1911-01-01 00:00:00.000	Manuscripts - Florida History Collections				Gift	NULL	NULL	NULL		NULL			1	0	Aleph: 024165357 | OCLC: 19603385						Processed	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms6.xml							1
796	4	2017-10-30 11:05:10.067	2011-06-13 07:35:30.083	mjkruse	johnemm	Zora Neale Hurston Papers		NULL	NULL	NULL	NULL	NULL			Hurston, Zora Neale	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Silver, Marjorie	0	1961	1	x		1961-01-01 00:00:00.000	Manuscripts - Literary Collections				Gift	NULL	NULL	NULL		NULL			1	0	Aleph: 024084405 | OCLC: 19557556 | 			Other materials were donated in 1970 and 1971 by Frances Grover, daughter of E. O. Grover, a Rollins College professor and long-time friend of Hurston's. In 1979 Stetson Kennedy of Jacksonville, who knew Hurston through his work with the Federal Writers Project, added additional papers.				NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms6gm.xml							1
797	4	2017-10-31 14:22:26.670	2011-06-13 07:35:30.083	mjkruse	johnemm	Abram Ormsbee Blanding Papers		NULL	NULL	NULL	NULL	NULL			Blanding, Abram Ormsbee	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Hobart, Vernon F.	0	0000	12	x		1911-01-01 00:00:00.000	Manuscripts - Florida History Collections				Gift	NULL	NULL	NULL		NULL			1	0	Aleph: 027154608 | OCLC: 641235708						Processed	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms7.xml							1
798	4	2012-01-03 09:33:30.427	2011-06-13 07:35:30.100	johnemm	johnemm	William Perry Hay Papers		NULL	NULL	NULL	NULL	NULL			Hay, William Perry	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	University of Florida. Biology Department.	0	1948	2	x		1948-01-01 00:00:00.000	Manuscripts - General Collections					NULL	NULL	NULL		NULL			1	0	MS Group 7			Gift of UF Biology Department, 1948. Formerly owned by Dr. Leonhard Stejneger				NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms7gm							1
799	3	2011-12-13 07:22:52.547	2011-06-13 07:35:30.117	johnemm	johnemm	Albert Hazen Blanding Papers		NULL	NULL	NULL	NULL	NULL			Blanding, Albert Hazen	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Hobart, Vernon F.	0	0000	14	x		1911-01-01 00:00:00.000	Manuscripts - Florida History Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS 8							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms8.xml							1
800	4	2012-01-26 07:51:21.570	2011-06-13 07:35:30.117	johnemm	johnemm	Robert J. Harris Papers		1957	1963	NULL	NULL	1		Linear feet	Harris, Robert Jennings	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Harris family	0	1964	2	x		1964-01-01 00:00:00.000	Manuscripts - General Collections	Correspondence regarding his works; Manuscripts; Notebooks regarding Stirling, Napier-Bunbury-Lennox matters, etc.			Gift	NULL	NULL	NULL		NULL			0	0	Was cataloged as MS Group 8, but the record is now suppressed (collection deaccesioned)			This collection was deaccessioned by Flo Turcotte, April 2005. This had been assigned to MS Group 8.				NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL								1
801	3	2011-12-13 07:23:35.143	2011-06-13 07:35:30.130	johnemm	johnemm	Napoleon Bonaparte Broward Papers		NULL	NULL	NULL	NULL	NULL			Broward, Napoleon Bonaparte	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Douglas, Elsie	0	0000	16	x		1911-01-01 00:00:00.000	Manuscripts - Political Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS 9			Additional material was acquired in 2003 from the Samuel P. Harn Museum at the University of Florida.				NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms9.xml							1
802	4	2012-01-26 07:51:38.087	2011-06-13 07:35:30.130	johnemm	johnemm	Arthur Henry Hallam Papers		NULL	NULL	NULL	NULL	NULL			Hallam, Arthur Henry	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Patrick, J. Max,  (John Max), 1911-	0	0000	17	x		1911-01-01 00:00:00.000	Manuscripts - General Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS Group 9			Acquired prior to 1964.				NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms9gm.xml							1
803	3	2012-01-26 07:52:31.647	2011-06-13 07:35:30.147	johnemm	johnemm	Robert Dunbar Papers		1773	1838	NULL	NULL	NULL	245 items in 1 box		Dunbar, Robert	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	1962	2	x		1962-01-01 00:00:00.000	Manuscripts - General Collections	Merchant of Famouth, Va. Bills, receipts, indentures, surveyors' reports, bank drafts, and correspondence of Abram Maury, Francis, Thornton, and Philip Thompson. Bulk of the materials covers the period 1773-1829. Includes papers of the Thornton family of Spotsylvania County, Virginia, concerning a legal controversy over the will of Francis Thornton, Sr. who died in 1794.				NULL	NULL	NULL		NULL			0	0				Deaccessioned in 2004 by Carl Van Ness.				NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL								1
804	3	2011-12-13 07:24:12.940	2011-06-13 07:35:30.147	johnemm	johnemm	Millard Fillmore Caldwell Papers		NULL	NULL	NULL	NULL	NULL			Caldwell, Millard Fillmore	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Caldwell, Millard Fillmore, 1897-1984	0	0000	19	x		1911-01-01 00:00:00.000	Manuscripts - Political Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS 10							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms10pky.xml							1
805	3	2011-12-13 07:24:30.687	2011-06-13 07:35:30.163	johnemm	johnemm	Louis Bishop Capron Papers		NULL	NULL	NULL	NULL	NULL			Capron, Louis Bishop	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Capron, Clara Hunter	0	0000	20	x		1911-01-01 00:00:00.000	Manuscripts - Florida History Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS 11							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms11pky.xml							1
806	3	2012-01-26 07:53:09.570	2011-06-13 07:35:30.163	johnemm	johnemm	Pansy Pickren Papers		NULL	NULL	NULL	NULL	NULL	3 boxes		Pickren, Pansy	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	1964	3	x		1964-01-01 00:00:00.000	Manuscripts - General Collections					NULL	NULL	NULL		NULL			1	0	MS Group 11							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms11.xml							1
807	2	2012-01-26 07:53:33.150	2011-06-13 07:35:30.177	johnemm	johnemm	West Indies Papers		NULL	NULL	NULL	NULL	NULL	1 box			Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	0000	22	x		1911-01-01 00:00:00.000	Manuscripts - Latin American and Caribbean Collections					NULL	NULL	NULL		NULL			1	0	MS Group 12			Acquired prior to 1962.				NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms12.xml							1
808	3	2011-12-12 14:34:46.060	2011-06-13 07:35:30.177	johnemm	johnemm	Austin Cary Papers		NULL	NULL	NULL	NULL	NULL			Cary, Austin	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Estate of Austin Cary.	0	1936	1	x		1936-01-01 00:00:00.000	Manuscripts - Florida History Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS 12							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms12pky.xml							1
809	6	2012-01-26 08:10:18.473	2011-06-13 07:35:30.193	johnemm	johnemm	Robert O. Bowen Papers		NULL	NULL	NULL	NULL	NULL			Bowen, Robert O.	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Bowen, Robert O., 1920-	0	1961	3	x		1961-01-01 00:00:00.000	Manuscripts - Literary Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS Group 13			An addition was received from Bowen in 1966 (1 box). Another addition received Oct 26, 1967 (1 box).				NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms13gm.xml							1
810	3	2011-12-13 07:25:06.470	2011-06-13 07:35:30.210	johnemm	johnemm	Catholic Parishes of Florida Histories		NULL	NULL	NULL	NULL	NULL			Gannon, Michael	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Gannon, Michael, 1927-	0	0000	24	x		1911-01-01 00:00:00.000	Manuscripts - Florida History Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS 13							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms13.xml							1
811	2	2013-04-04 08:48:12.767	2011-06-13 07:35:30.210	johnemm	johnemm	Chase Papers		NULL	NULL	NULL	NULL	NULL			Chase family	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	0000	25	x		1911-01-01 00:00:00.000	Manuscripts - Florida History Collections					NULL	NULL	NULL		NULL			1	0	MS 14			Note: there are a few "1999 family addition" boxes in the locator that need to be integrated into the collection (April 2013).				NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms14.xml							1
812	4	2012-01-26 07:55:00.777	2011-06-13 07:35:30.223	johnemm	johnemm	Frank R. Crumbie Papers		NULL	NULL	NULL	NULL	NULL			Crumbie, Frank R.	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Crumbie, Marian	0	1960	1	x		1960-01-01 00:00:00.000	Manuscripts - Latin American and Caribbean Collections				Purchase	NULL	NULL	NULL		NULL			1	0	MS Group 14			4 boxes were received as gift from Frank Crumbie in 1963.				NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms14gm.xml							1
813	4	2012-01-26 07:55:27.027	2011-06-13 07:35:30.223	johnemm	johnemm	Margaret Dreier Robins Papers		NULL	NULL	NULL	NULL	NULL			Robins, Margaret Dreier	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Robins, Raymond, 1873-1954	0	1954	1	x		1954-01-01 00:00:00.000	Manuscripts - General Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS Group 15							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms15gm.xml							1
