IFAS_Unit	Authors	Year	Title	Journal Name	Vol	Issue	Pages	Doi
SoilWater	"Abbas, A. Z., Q.; Schuman, A.; Farooque, A.; Brewster, G.; Donald, R."	2016	EFFECT OF SPLIT FERTILIZATION ON SUBSURFACE WATER QUALITY IN WILD BLUEBERRY FIELDS	Applied Engineering in Agriculture	32	1	79-88	
SoilWater	"Abbas, A. Z., Q.; Farooque, A.;  Schumann, A.; Brewster, G.; Donald, R."	2016	Effect of Split Variable Rate Fertilization on Wild Blueberry Plant Growth and Berry Yield	Applied Engineering in Agriculture	32	6		10.13031/aea.32.11339
AniSci	"Abdalla, E. a. P., F.; Byrem, T. M.; Weigel, K. A.; Rosa, G. J. M."	2016	Genome-wide association mapping and pathway analysis of leukosis incidence in a US Holstein cattle population	Animal Genetics	47	4	395-407	10.1111/age.12438
Gulf_REC	"Abd-Elrahman, A. S., Naoufal; Wilkinson, Ben; Dewitt, Bon"	2016	Georeferencing of mobile ground-based hyperspectral digital single-lens reflex imagery	Journal of Applied Remote Sensing	10	1	014002-014002	
Citrus_REC	"Abdulridha, J. E., Reza; De Castro, Ana"	2016	"Detection and Differentiation between Laurel Wilt Disease, Phytophthora Disease, and Salinity Damage Using a Hyperspectral Sensing Technique"	Agriculture	6	4		10.3390/agriculture6040056
Range_REC	"Abe, D. G., Sellers, B. A., Ferrell, J. A., Leon, R. G. and Odero, D. C."	2016	Tolerance of Bermudagrass and Stargrass to Aminocyclopyrachlor	Weed Technology	30	2	499-505	10.1614/wt-d-15-00167.1
Range_REC	"Abe, D. G., Sellers, B. A., Ferrell, J. A., Leon, R. G. and Odero, D. C."	2016	Weed Control in Florida Pastures With the Use of Aminocyclopyrachlor	Weed Technology	30	1	271-278	10.1614/wt-d-15-00052.1
Range_REC	"Abe, D. G., Sellers, B. A., Ferrell, J. A., Leon, R. G. and Odero, D. C."	2016	Bahiagrass Tolerance to Aminocyclopyrachlor in Florida	Weed Technology	30	4	943-948	10.1614/WT-D-16-00060.1
Everglades_REC	"Abe, D. G. S., B. A.; Ferrell, J. A.; Leon, R. G.; Odero, D. C."	2016	Tolerance of Bermudagrass and Stargrass to Aminocyclopyrachlor	Weed Technology	30	2	499-505	10.1614/wt-d-15-00167.1
Everglades_REC	"Abe, D. G. S., B. A.; Ferrell, J. A.; Leon, R. G.; Odero, D. C."	2016	Weed Control in Florida Pastures With the Use of Aminocyclopyrachlor	Weed Technology	30	1	271-278	10.1614/wt-d-15-00052.1
Everglades_REC	"Abe, D. G. S., Brent a; Ferrell, Jason a; Leon, Ramon G; Odero, D Calvin"	2016	Bahiagrass Tolerance to Aminocyclopyrachlor in Florida	Weed Technology	30	4	943-948	
West_REC	"Abe, D. G. S., Brent a; Ferrell, Jason a; Leon, Ramon G; Odero, D Calvin"	2016	Bahiagrass Tolerance to Aminocyclopyrachlor in Florida	Weed Technology	30	4	943-948	
West_REC	"Abe, D. G. S., Brent a; Ferrell, Jason a; Leon, Ramon G; Odero, D Calvin"	2016	Tolerance of Bermudagrass and Stargrass to Aminocyclopyrachlor	Weed Technology	30	2	499-505	
West_REC	"Abe, D. G. S., Brent a; Ferrell, Jason a; Leon, Ramon G; Odero, D Calvin"	2016	Weed Control in Florida Pastures With the Use of Aminocyclopyrachlor	Weed Technology	30	1	271-278	
Agron	"Abe, D. G. S., B. A.; Ferrell, J. A.; Leon, R. G.; Odero, D. C."	2016	Tolerance of Bermudagrass and Stargrass to Aminocyclopyrachlor	Weed Technology	30	2	499-505	10.1614/wt-d-15-00167.1
Agron	"Abe, D. G. S., Brent A.; Ferrell, Jason A.; Leon, Ramon G.; Odero, D. Calvin"	2016	Bahiagrass Tolerance to Aminocyclopyrachlor in Florida	Weed Technology	30	4	943-948	10.1614/WT-D-16-00060.1
SoilWater	"Abong'o, D. a. W., S. O.; Jumba, I. O.; Van Den Brink, P. J.; Naziriwo, B. B.; Madadi, V. O.; Wafula, G. A.; Nkedi-Kizza, P.; Kylin, H."	2015	"Occurrence, abundance and distribution of benthic macroinvertebrates in the Nyando River catchment, Kenya"	African Journal of Aquatic Science	40	4	373-392	10.2989/16085914.2015.1113397
MicroCell	"Achbergert, A. M., Christner, B. C., Michaud, A. B., Priscu, J. C., Skidmore, M. L., Vick-Majors, T. J. and Team, W. S."	2016	"Microbial Community Structure of Subglacial Lake Whillans, West Antarctica"	Frontiers in Microbiology	7		13	10.3389/fmicb.2016.01457
PlantPath	"A?imovi?, S. H., Cl; Bec, S; Wyka, S; Broders, K; Doccola, Jj"	2016	First Report of Diplodia corticola Causing Decline of Red Oak (Quercus rubra) Trees in Maine	Plant Disease	100	3	649	http://dx.doi.org/10.1094/PDIS-09-15-0994-PDN
AniSci	"Acosta, D. a. D., A. C.; Tribulo, P.; Rivelli, M. I.; Skenandore, C.; Zhou, Z.; Luchini, D.; Corrêa, M. N.; Hansen, P. J.; Cardoso, F. C."	2016	Effects of rumen-protected methionine and choline supplementation on the preimplantation embryo in Holstein cows	Theriogenology	85	9	1669-79	10.1016/j.theriogenology.2016.01.024
SoilWater	"Acuna, J. J. D., P.; Lagos, L. M.; Ogram, A.; Mora, M. D.; Jorquera, M. A."	2016	Bacterial alkaline phosphomonoesterase in the rhizospheres of plants grown in Chilean extreme environments	Biology and Fertility of Soils	52	6	763-773	10.1007/s00374-016-1113-9
SFRC	"Adams, A. E. S., T. E."	2016	Challenging Extractive Industries: How Political Context and Targets Influence Tactical Choice	Sociological Perspectives	59	4	892-909	10.1177/0731121416641683
EnvHort	"Adegbola, Y. U. and Perez, H. E."	2016	Extensive Desiccation and Aging Stress Tolerance Characterize Gaillardia pulchella (Asteraceae) Seeds	Hortscience	51	2	159-163	
SFRC	"Agramonte, N. G., S.; Bernier, U."	2016	Comparative evaluation of a silicone membrane as an alternative to skin for testing mosquito repellents	Journal of Medical Entomology			1-7	10.1093/jme/tjw207
NOFL_REC	"Ahmadiani, M., Li, C., Liu, Y., Fonsah, E. G., Bliss, C. M., Brodbeck, B. V. and Andersen, P. C."	2016	Profitability of organic vegetable production via sod based rotation and conventional versus strip tillage in the Southern Coastal Plain	Sustainable Agriculture Research	5	4	46-55	
ABE	"Ahmed, M. A., M. N.; Asim, M.; Aslam, M.; Hassan, F. U.; Higgins, S.; Stockle, C. O.; Hoogenboom, G."	2016	Calibration and validation of APSIM-Wheat and CERES-Wheat for spring wheat under rainfed conditions: Models evaluation and application	Computers and Electronics in Agriculture	123		384-401	10.1016/j.compag.2016.03.015
MicroCell	"Ahn, S. J. and Rice, K. C."	2016	Understanding the Streptococcus mutans Cid/Lrg System through CidB Function	Applied and Environmental Microbiology	82	20	6189-6203	10.1128/aem.01499-16
