Authors	Year	Title	Journal Name	Vol	Issue	Pages	Reference Type	Research notes	doi 	IFAS Unit
"Abbas, A., Zaman, Q., Schumann, A., Farooque, A., Brewster, G. and Donald, R."	2016	Effect of Split Fertilization on Subsurface Water Quality in Wild Blueberry Fields	Applied Engineering in Agriculture	32	1	79-88	Journal Article		10.13031/aea.32.11248	Citrus REC
"Abbas, A., Zaman, Q., Schumann, A. W., Brewster, G., Farooque, A. A., Donald, R. and James, M."	2016	Effect of Split Variable Rate Fertilization on Wild Blueberry Plant Growth and Berry Yield	Applied Engineering in Agriculture	32	6	675-683	Journal Article		10.13031/aea.32.11339	Citrus REC
"Abdalla, E. A., Penagaricano, F., Byrem, T. M., Weigel, K. A. and Rosa, G. J. M."	2016	Genome-wide association mapping and pathway analysis of leukosis incidence in a US Holstein cattle population	Animal Genetics	47	4	395-407	Journal Article		10.1111/age.12438	Animal Sci
"Abd-Elrahman, A., Sassi, N., Wilkinson, B. and Dewitt, B."	2016	Georeferencing of mobile ground-based hyperspectral digital single-lens reflex imagery	Journal of Applied Remote Sensing	10	1	014002-1 -    014002- 18	Journal Article		10.1117/1.JRS.10.014002	
"Abdulridha, J., Ehsani, R. and De Castro, A."	2016	"Detection and Differentiation between Laurel Wilt Disease, Phytophthora Disease, and Salinity Damage Using a Hyperspectral Sensing Technique"	Agriculture	6	4	doi: 10.3390/agriculture6040056	Journal Article		10.3390/agriculture6040056	Citrus REC
"Abe, D. G., Sellers, B. A., Ferrell, J. A., Leon, R. G. and Odero, D. C."	2016	Tolerance of Bermudagrass and Stargrass to Aminocyclopyrachlor	Weed Technology	30	2	499-505	Journal Article		10.1614/wt-d-15-00167.1	Everglades REC
"Abe, D. G., Sellers, B. A., Ferrell, J. A., Leon, R. G. and Odero, D. C."	2016	Bahiagrass Tolerance to Aminocyclopyrachlor in Florida	Weed Technology	30	4	943-948	Journal Article			Everglades REC
"Abong'o, D. A., Wandiga, S. O., Jumba, I. O., Van Den Brink, P. J., Naziriwo, B. B., Madadi, V. O., Wafula, G. A., Nkedi-Kizza, P. and Kylin, H."	2015	"Occurrence, abundance and distribution of benthic macroinvertebrates in the Nyando River catchment, Kenya"	African Journal of Aquatic Science	40	4	373-392	Journal Article	yes	10.2989/16085914.2015.1113397	
"Achbergert, A. M., Christner, B. C., Michaud, A. B., Priscu, J. C., Skidmore, M. L., Vick-Majors, T. J. and Team, W. S."	2016	"Microbial Community Structure of Subglacial Lake Whillans, West Antarctica"	Frontiers in Microbiology	7		Article 1457	Journal Article		10.3389/fmicb.2016.01457	
"Acosta, D. A., Denicol, A. C., Tribulo, P., Rivelli, M. I., Skenandore, C., Zhou, Z., Luchini, D., Corrêa, M. N., Hansen, P. J. and Cardoso, F. C."	2016	Effects of rumen-protected methionine and choline supplementation on the preimplantation embryo in Holstein cows	Theriogenology	85	9	1669-79	Journal Article		10.1016/j.theriogenology.2016.01.024	Animal Sci
"Acuna, J. J., Duran, P., Lagos, L. M., Ogram, A., Mora, M. D. and Jorquera, M. A."	2016	Bacterial alkaline phosphomonoesterase in the rhizospheres of plants grown in Chilean extreme environments	Biology and Fertility of Soils	52	6	763-773	Journal Article	yes	10.1007/s00374-016-1113-9	SoilWater
"Adams, A. E. and Shriver, T. E."	2016	Challenging Extractive Industries: How Political Context and Targets Influence Tactical Choice	Sociological Perspectives	59	4	892-909	Journal Article		10.1177/0731121416641683	
"Adegbola, Y. U. and Perez, H. E."	2016	Extensive Desiccation and Aging Stress Tolerance Characterize Gaillardia pulchella (Asteraceae) Seeds	Hortscience	51	2	159-163	Journal Article			Env Hort
"Agramonte, N., Gezan, S. and Bernier, U."	2016	Comparative evaluation of a silicone membrane as an alternative to skin for testing mosquito repellents	Journal of Medical Entomology	2016		1-7	Journal Article		10.1093/jme/tjw207	
"Ahmadiani, M., Li, C., Liu, Y., Fonsah, E. G., Bliss, C. M., Brodbeck, B. V. and Andersen, P. C."	2016	Profitability of organic vegetable production via sod based rotation and conventional versus strip tillage in the Southern Coastal Plain	Sustainable Agriculture Research	5	4	46-55	Journal Article			
"Ahn, S. J. and Rice, K. C."	2016	Understanding the Streptococcus mutans Cid/Lrg System through CidB Function	Applied and Environmental Microbiology	82	20	6189-6203	Journal Article		10.1128/aem.01499-16	
"Albrecht, U., Fiehn, O. and Bowman, K. D."	2016	Metabolic variations in different citrus rootstock cultivars associated with different responses to Huanglongbing	Plant Physiology and Biochemistry	107		33-44	Journal Article		10.1016/j.plaphy.2016.05.030	
"Alfaress, S., Hijaz, F. and Killiny, N."	2016	Chemical composition of cornicle secretion of the brown citrus aphid Toxoptera citricida	Physiological Entomology	41	1	38-47	Journal Article		10.1111/phen.12123	Citrus REC
"Ali, M., Abbasi, B. H., Ahmad, N., Ali, S. S., Ali, S. and Ali, G. S."	2016	Sucrose-enhanced biosynthesis of medicinally important antioxidant secondary metabolites in cell suspension cultures of Artemisia absinthium L	Bioprocess Biosyst Eng	39	12	1945-1954	Journal Article		10.1007/s00449-016-1668-8	
"Ali, M., Kim, B., Belfield, K. D., Norman, D., Brennan, M. and Ali, G. S."	2016	Green synthesis and characterization of silver nanoparticles using Artemisia absinthium aqueous extract - A comprehensive study	Material Science and Engineering C	58		359-365	Journal Article			
"Al-Massarani, S., Al-Enzi, F., Al-Tamimi, M., Al-Jomaiah, N., Al-Amri, R., Husnu Can Baser, K., Tabanca, N., Estep, A. S., Becnel, J. J., Bloomquist, J. R. and Demirci, B."	2016	Composition & biological activity of Cyperus rotundus L. tuber volatiles from Saudi Arabia.	Nat. Volatiles & Essent. Oils	3	2	26-34	Journal Article			Ent/Nem
"Alonso, A., Muñoz-Carpena, R., Kennedy, R. E. and Murcia, C."	2016	Wetland landscape spatio-temporal degradation dynamics using the new Google Earth Engine cloud-based platform: Opportunities for non-specialists in remote sensing	Transactions ASABE	59	5	1331-1342	Journal Article			ABE
"Alto, B. W. and Lord, C. C."	2016	Transstadial Effects of Bti on Traits of Aedes aegypti and Infection with Dengue Virus	Plos Neglected Tropical Diseases	10	2	e0004370	Journal Article		10.1371/journal.pntd.0004370	FMEL
"Altpeter, F., Springer, N. M., Bartley, L. E., Blechl, A. E., Brutnell, T. P., Citovsky, V., Conrad, L. J., Gelvin, S. B., Jackson, D. P., Kausch, A. P., Lemaux, P. G., Medford, J. I., Orozco-Cardenas, M. L., Tricoli, D. M., Van Eck, J., Voytas, D. F., Walbot, V., Wang, K., Zhang, Z. Y. J. and Stewart, C. N."	2016	Advancing Crop Transformation in the Era of Genome Editing	Plant Cell	28	7	1510-1520	Journal Article		10.1105/tpc.16.00196	Agronomy
"Alugubelly, N., Hercik, K., Kibler, P., Nanduri, B. and Edelmann, M. J."	2016	Analysis of differentially expressed proteins in Yersinia enterocolitica-infected HeLa cells	Biochimica Et Biophysica Acta-Proteins and Proteomics	1864	5	562-569	Journal Article		10.1016/j.bbapap.2016.02.004	
"Alvani, S., Mahdikhani-Moghadam, E., Giblin-Davis, R. and Pedram, M."	2016	Description of Ektaphelenchus berbericus n. sp (Rhabditida: Ektaphelenchinae) from eastern Iran	Nematology	18	9	1063-1077	Journal Article		10.1163/15685411-00003015	Ft Lauderdale REC
"Alvarado, P., Cabero, J., Moreno, G., Bratek, Z., Van Vooren, N., Kaounas, V., Konstantinidis, G., Agnello, C., Merényi, Z. and Smith, M. E."	2016	"Phylogenetic overview of the genus Genea (Pezizales, Ascomycota) with an emphasis on European taxa"	Mycologia	108	2	441-456	Journal Article		10.3852/15-199	
"Alyousif, Z., Ford, A. and Dahl, W."	2016	Calcium supplementation does not contribute to constipation in healthy women.	Canadian Journal of Dietetic Practice and Research	77	2	103-5	Journal Article			Food Sci & Nutr
"Amadeu, R. R., Cellon, C., Olmstead, J. W., Garcia, A. a. F., Resende, M. F. R. and Munoz, P. R."	2016	AGHmatrix: R Package to Construct Relationship Matrices for Autotetraploid and Diploid Species: A Blueberry Example	The plant genome	9	3	doi: 10.3835/plantgenome2016.01.0009	Journal Article		10.3835/plantgenome2016.01.0009	Agronomy
"Amata, R. L., Fernandez, E., Filloux, D., Martin, D. P., Rott, P. and Roumagnac, P."	2016	Prevalence of Sugarcane yellow leaf virus in sugarcane producing regions in Kenya revealed by reverse transcription loop-mediated isothermal amplification method	Plant Disease	100	2	260-268	Journal Article			Everglades REC
"Ames, Z. R., Olmstead, M., Sims, C. and Darnell, R."	2016	"Effect of Shoot and Cluster Thinning on Vine Performance, Fruit and Wine Quality of ?Blanc Du Bois?"	Journal of the American Pomological Society	70	1	2-15	Journal Article			
"Ames, Z. R. and Olmstead, M. A."	2016	"Estimation of Leaf Area for Blanc Du Bois Vitis spp., Carlos Vitis rotundifolia, and Southern Home Vitis rotundifolia x Vitis vinifera Using Simple Linear Measurement"	Journal of Horticulture	3	3	1-4	Journal Article			
"Amiri, A. P., Onofre, R. B. G. and Peres, N. A."	2016	First report of gray mold caused by Botryotinia ricini (Amphobotrys ricini) on strawberry in the United States	Plant Disease	100	5	1007	Journal Article			
"Ammar, E. D., Ramos, J. E., Hall, D. G., Dawson, W. O. and Shatters, R. G."	2016	"Acquisition, Replication and Inoculation of Candidatus Liberibacter asiaticus following Various Acquisition Periods on Huanglongbing-Infected Citrus by Nymphs and Adults of the Asian Citrus Psyllid"	Plos One	11	7	18	Journal Article		10.1371/journal.pone.0159594	Citrus REC
