unit	doi	authors	pub_year	title	journal	volume	issue	pages	original_line
NoFL_REC	10.1002/wsb.778	"""Braun De Torrez, E. C., Samoray, S. T., Silas, K. A., Wallrichs, M. A., Gumbert, M. W., Ober, H. K. and Mccleery, R. A."""	2017	"""Acoustic Lure Allows for Capture of a High-Flying, Endangered Bat"""	Wildlife Society Bulletin	41	2	322-328	"""Braun De Torrez, E. C., Samoray, S. T., Silas, K. A., Wallrichs, M. A., Gumbert, M. W., Ober, H. K. and Mccleery, R. A.""|2017|""Acoustic Lure Allows for Capture of a High-Flying, Endangered Bat""|Wildlife Society Bulletin|41|2|322-328|Journal Article|Ineligible: Not peer-reviewed in Ulrichs or other source|10.1002/wsb.778|NoFL_REC|"
WildEco	10.1002/wsb.778	"""De Torrez, E. C. B., Samoray, S. T., Silas, K. A., Wallrichs, M. A., Gumbert, M. W., Ober, H. K. and Mccleery, R. A."""	2017	"""Acoustic Lure Allows for Capture of a High-Flying, Endangered Bat"""	Wildlife Society Bulletin	41	2	322-328	"""De Torrez, E. C. B., Samoray, S. T., Silas, K. A., Wallrichs, M. A., Gumbert, M. W., Ober, H. K. and Mccleery, R. A.""|2017|""Acoustic Lure Allows for Capture of a High-Flying, Endangered Bat""|Wildlife Society Bulletin|41|2|322-328|Journal Article|Ineligible: Not peer-reviewed in Ulrichs or other source|10.1002/wsb.778|WildEco|"
HortSci	10.13031/trans.12183	"""Acharya, S., Correll, M., Jones, J., Boote, K., Alderman, P., Hu, Z. and Vallejos, C."""	2017	RELIABILITY OF GENOTYPE-SPECIFIC PARAMETER ESTIMATION FOR CROP MODELS: INSIGHTS FROM A MARKOV CHAIN MONTE-CARLO ESTIMATION APPROACH	Transactions of the ASABE	60	5	1699-1712	"""Acharya, S., Correll, M., Jones, J., Boote, K., Alderman, P., Hu, Z. and Vallejos, C.""|2017|RELIABILITY OF GENOTYPE-SPECIFIC PARAMETER ESTIMATION FOR CROP MODELS: INSIGHTS FROM A MARKOV CHAIN MONTE-CARLO ESTIMATION APPROACH|Transactions of the ASABE|60|5|1699-1712|Journal Article|Ineligible: Not peer-reviewed in Ulrichs or other source|10.13031/trans.12183|HortSci|"
ABE	10.13031/trans.12183	"""Acharya, S., Correll, M., Jones, J. W., Boote, K. J., Alderman, P. D., Hu, Z. and Vallejos, C. E."""	2017	RELIABILITY OF GENOTYPE-SPECIFIC PARAMETER ESTIMATION FOR CROP MODELS: INSIGHTS FROM A MARKOV CHAIN MONTE-CARLO ESTIMATION APPROACH	Transactions of the ASABE	60	5	1699-1712	"""Acharya, S., Correll, M., Jones, J. W., Boote, K. J., Alderman, P. D., Hu, Z. and Vallejos, C. E.""|2017|RELIABILITY OF GENOTYPE-SPECIFIC PARAMETER ESTIMATION FOR CROP MODELS: INSIGHTS FROM A MARKOV CHAIN MONTE-CARLO ESTIMATION APPROACH|Transactions of the ASABE|60|5|1699-1712|Journal Article|Ineligible: Not peer-reviewed in Ulrichs or other source|10.13031/trans.12183|ABE|"
ABE	10.13031/trans.12024	"""Agha, M. K. K., Bucklin, R. A., Lee, W. S., Mankin, R. W. and Blount, A. R."""	2017	EFFECT OF DRYING CONDITIONS ON TRITICALE SEED GERMINATION AND RICE WEEVIL INFESTATION	Transactions of the ASABE	60	2	571-575	"""Agha, M. K. K., Bucklin, R. A., Lee, W. S., Mankin, R. W. and Blount, A. R.""|2017|EFFECT OF DRYING CONDITIONS ON TRITICALE SEED GERMINATION AND RICE WEEVIL INFESTATION|Transactions of the ASABE|60|2|571-575|Journal Article|Ineligible: Not peer-reviewed in Ulrichs or other source|10.13031/trans.12024|ABE|"
ABE		"""Aso, S. N., Pullammanappallil, P. C., Teixeira, A. A. and Welt, B. A."""	2017	Production of Glucose Sweetener by Simple Single-Step Hydrolysis of Native Cassava Root Starch	Transactions of the ASABE	60	6	2199-2207	"""Aso, S. N., Pullammanappallil, P. C., Teixeira, A. A. and Welt, B. A.""|2017|Production of Glucose Sweetener by Simple Single-Step Hydrolysis of Native Cassava Root Starch|Transactions of the ASABE|60|6|2199-2207|Journal Article|Ineligible: Not peer-reviewed in Ulrichs or other source||ABE|"
ABE	10.13031/trans.11700	"""Shuaibu, M., Lee, W. S., Hong, Y. K. and Kim, S."""	2017	DETECTION OF APPLE MARSSONINA BLOTCH DISEASE USING PARTICLE SWARM OPTIMIZATION	Transactions of the ASABE	60	2	303-312	"""Shuaibu, M., Lee, W. S., Hong, Y. K. and Kim, S.""|2017|DETECTION OF APPLE MARSSONINA BLOTCH DISEASE USING PARTICLE SWARM OPTIMIZATION|Transactions of the ASABE|60|2|303-312|Journal Article|Ineligible: Not peer-reviewed in Ulrichs or other source|10.13031/trans.11700|ABE|"
EntNem	10.3390/toxins9040124	"""Wang, H. C., Eyun, S. I., Arora, K., Tan, S. Y., Gandra, P., Moriyama, E., Khajuria, C., Jurzenski, J., Li, H. R., Donahue, M., Narva, K. and Siegfried, B."""	2017	"""Patterns of Gene Expression in Western Corn Rootworm (Diabrotica virgifera virgifera) Neonates, Challenged with Cry34Ab1, Cry35Ab1 and Cry34/35Ab1, Based on Next-Generation Sequencing"""	Toxins	9	4		"""Wang, H. C., Eyun, S. I., Arora, K., Tan, S. Y., Gandra, P., Moriyama, E., Khajuria, C., Jurzenski, J., Li, H. R., Donahue, M., Narva, K. and Siegfried, B.""|2017|""Patterns of Gene Expression in Western Corn Rootworm (Diabrotica virgifera virgifera) Neonates, Challenged with Cry34Ab1, Cry35Ab1 and Cry34/35Ab1, Based on Next-Generation Sequencing""|Toxins|9|4||Journal Article|Ineligible: Not peer-reviewed in Ulrichs or other source|10.3390/toxins9040124|EntNem|"
Trop_REC		"""Campostrini, E., B. Schaffer, J.D. Cochicho Ramalho, J. Cuevas Gonzlez, W. Pereira Rodrigues and Silva, J. R. D."""	2017	"""Environmental factors controlling carbon assimilation, growth, and yield of papaya (Carica papaya L.) under water-scarcity scenarios"""	Water Scarcity and Agricultural Sustainability in Mediterranean Climates	In Press			"""Campostrini, E., B. Schaffer, J.D. Cochicho Ramalho, J. Cuevas Gonzlez, W. Pereira Rodrigues and Silva, J. R. D.""|2017|""Environmental factors controlling carbon assimilation, growth, and yield of papaya (Carica papaya L.) under water-scarcity scenarios""|Water Scarcity and Agricultural Sustainability in Mediterranean Climates|In Press|||Book Section|Ineligible: Not an article||Trop_REC|"
West_REC		"""Xue, J., Feng, Y., Wijesinghe, R. U. and Wood, C."""	2017	Using Bacteroidales genetic markers to assess fecal pollution sources in coastal waters	Water and Environment Journal				"""Xue, J., Feng, Y., Wijesinghe, R. U. and Wood, C.""|2017|Using Bacteroidales genetic markers to assess fecal pollution sources in coastal waters|Water and Environment Journal||||Journal Article|Ineligible: Not peer-reviewed in Ulrichs||West_REC|"
ABE	10.1016/j.agrformet.2017.07.012	"""Abbas, G., Ahmad, S., Ahmad, A., Nasim, W., Fatima, Z., Hussain, S., Rehman, M., Khan, M., Hasanuzzaman, M., Fahad, S., Boote, K. and Hoogenboom, G."""	2017	"""Quantification the impacts of climate change and crop management on phenology of maize-based cropping system in Punjab, Pakistan"""	Agricultural and Forest Meteorology	247		42-55	"""Abbas, G., Ahmad, S., Ahmad, A., Nasim, W., Fatima, Z., Hussain, S., Rehman, M., Khan, M., Hasanuzzaman, M., Fahad, S., Boote, K. and Hoogenboom, G.""|2017|""Quantification the impacts of climate change and crop management on phenology of maize-based cropping system in Punjab, Pakistan""|Agricultural and Forest Meteorology|247||42-55|Journal Article||10.1016/j.agrformet.2017.07.012|ABE|"
Agron	10.1016/j.agrformet.2017.07.012	"""Abbas, G. A., S.; Ahmad, A.; Nasim, W.; Fatima, Z.; Hussain, S.; Rehman, M. H. U.; Khan, M. A.; Hasanuzzaman, M.; Fahad, S.; Boote, K. J.; Hoogenboom, G."""	2017	"""Quantification the impacts of climate change and crop management on phenology of maize-based cropping system in Punjab, Pakistan"""	Agricultural and Forest Meteorology	247		42-55	"""Abbas, G. A., S.; Ahmad, A.; Nasim, W.; Fatima, Z.; Hussain, S.; Rehman, M. H. U.; Khan, M. A.; Hasanuzzaman, M.; Fahad, S.; Boote, K. J.; Hoogenboom, G.""|2017|""Quantification the impacts of climate change and crop management on phenology of maize-based cropping system in Punjab, Pakistan""|Agricultural and Forest Meteorology|247||42-55|Journal Article||10.1016/j.agrformet.2017.07.012|Agron|"
Trop_REC	10.1080/03235408.2017.1352248	"""Abdalla, O., Bibi, S. and Zhang, S."""	2017	Application of plant growth-promoting rhizobacteria to control Papaya ringspot virus and Tomato chlorotic spot virus		50		1-14	"""Abdalla, O., Bibi, S. and Zhang, S.""|2017|Application of plant growth-promoting rhizobacteria to control Papaya ringspot virus and Tomato chlorotic spot virus||50||1-14|Journal Article||10.1080/03235408.2017.1352248|Trop_REC|"
